**** BEGIN LOGGING AT Tue Oct 18 17:58:07 2016

Th10 18 17:58:12 <jamielennox>	yum would be python-keystoneauth 
Th01 04 21:24:55 <tdasilva>	jrichli: works for me :)
Th01 04 21:25:20 <tdasilva>	might be a bit too early for timburke 
Th01 04 21:26:08 <jrichli>	also kota_ : are you interested in joining a call we are planning to have about patch 364878?  If so, would 14:00 UTC be too late for you?
Th01 04 21:26:09 <patchbot_>	https://review.openstack.org/#/c/364878/ - swift - Storing encryption root secret in Barbican
Th01 04 21:27:06 <jrichli>	tdasilva: yes, i thought of that last night.  and then remembered, IIRC, we had our last crypto at that time so it would also be doable for kota_ 
Th01 04 21:28:04 <tdasilva>	jrichli: yeah, scheduling meetings across TZs is always complicated
Th01 04 21:30:07 <tdasilva>	jrichli: swift/tape conf. call meetings are happening at 0900 UTC, now that's early
Th01 04 21:30:09 <tdasilva>	:)
Th01 04 21:30:54 <jrichli>	yikes!
Th01 04 21:53:00 <openstackgerrit>	Donagh McCabe proposed openstack/swift: Donagh McCabe has been reassigned to different project.  https://review.openstack.org/416577
Th01 04 22:09:01 <openstackgerrit>	Donagh McCabe proposed openstack/swift: Donagh McCabe has been reassigned to different project.  https://review.openstack.org/416577
Th01 04 22:14:28 <acoles>	https://imgflip.com/i/1h2g05
Th01 04 22:16:19 <tdasilva>	donagh: sad to see you go, thank you for all your efforts with the project
Th01 04 22:20:39 <asettle>	donagh: who is going to button up my jacket now?!
Th01 04 22:35:12 <donagh>	asettle: Button it up yourself -- I only comitted to sewing it on
Th01 04 22:36:25 <asettle>	donagh: And I'll never forget your dedication and commitment to the cause :p
Th01 04 22:36:32 <donagh>	tdasilva: acoles: thanks
Th01 04 23:06:54 <jrichli>	donagh: you will be very missed.  I wish you the very best!
Th01 04 23:09:14 <donagh>	jrichli: thanks.
Th01 04 23:13:34 <notmyname>	good morning
Th01 04 23:15:39 <notmyname>	donagh: I'm sorry to see you go. good luck with what's next
Th01 04 23:15:59 <donagh>	thanks
Th01 04 23:34:34 <jasond>	in what case will swift respond with a 409 Conflict when an object deletion is requested?
Th01 04 23:36:37 <notmyname>	jasond: when the existing object has a newer timestamp than the timestamp of the DELETE request
Th01 04 23:37:13 <jasond>	notmyname: great, thank you!
Th01 04 23:37:46 <notmyname>	jasond: if that's not expected, then check the system time on your servers. it's strongly recommended to keep them in sync (primarily the proxy servers)
Th01 04 23:40:08 <jasond>	notmyname: good to know
Th01 05 00:18:23 <openstackgerrit>	Takashi Kajinami proposed openstack/swift: Pass logger instances to AccountBroker/ContainerBroker  https://review.openstack.org/295875
Th01 05 00:29:46 *	ChanServ gives voice to zaitcev
Th01 05 00:31:26 <openstackgerrit>	Bryan Keller proposed openstack/swift: Allow Hacking H401, H403 check  https://review.openstack.org/416679
Th01 05 00:39:18 <briancline>	clayg: wrt prometheus.io, yeah, was actually looking at that a few weeks ago. the need to use an exporter daemon for every individual 'thing' to expose metrics for struck me as overly complex. and the space-delimited format was kind of a downer too. but the central component of it seemed interesting
Th01 05 00:43:08 <briancline>	would much rather see something like that have a bit more first-class support of push-based metrics. their argument for polling over pushing mostly makes sense, but polling is increasingly annoying at scale
Th01 05 01:01:06 *	aleph1 is now known as agarner
Th01 05 01:32:46 *	acoles is now known as acoles_
Th01 05 01:45:52 <dcourtoi>	hi
Th01 05 01:45:57 <dcourtoi>	https://opensource.googleblog.com/2017/01/grumpy-go-running-python.html
Th01 05 01:47:23 <notmyname>	interesting
Th01 05 01:48:53 <dcourtoi>	don't know why, I immediately thought about swift :)
Th01 05 01:53:00 <notmyname>	dcourtoi: because it's called "grumpy"? ;-)
Th01 05 01:56:15 <dcourtoi>	or maybe because I'm working with swift all day long ^^
Th01 05 02:11:53 <dcourtoi>	or maybe because of that "This one comes from the recent rejection of a resolution proposing to add golang to the list of approved languages, to support merging the hummingbird feature branch into Swift's master branch. A more accurate way to present that decision would be to say that a (short) majority of the TC members was not supporting the addition of golang at that time and under the 
Th01 05 02:11:54 <patchbot_>	Error: No closing quotation
Th01 05 02:11:59 <dcourtoi>	proposed conditions. In summary it was more of a "not now, not this way" than a "never"."
Th01 05 02:15:50 <timburke>	jrichli, tdasilva, et al.: yeah, 14:00 is going to be a bit too early for me. but i totally trust you guys to come up with a sensible plan without me :-)
Th01 05 02:17:24 <timburke>	that trouble sldk (or was it sdlk? seems to vary by channel) was having seems strange. makes me wonder what SHA that was
Th01 05 02:17:54 <zaitcev>	Makes me wonder what SLDK/SDLK is.
Th01 05 02:18:15 <zaitcev>	I know what SDLC is though...
Th01 05 02:19:34 <timburke>	zaitcev: who, rather than what. was looking for swift3 help ~10 hours back
Th01 05 02:21:51 <zaitcev>	timburke: okay, I'm backing away slowly
Th01 05 02:22:40 <timburke>	zaitcev: well, whoever it was doesn't seem to be here now, so i think you're safe ;-)
Th01 05 02:33:33 <ghada>	hello
Th01 05 02:37:47 *	nadeem_ is now known as nadeem
Th01 05 02:37:57 *	ChanServ gives voice to glange
Th01 05 02:56:02 <tdasilva>	i wish i read french: https://www.ovh.com/fr/cloud/storage/cloud-archive.xml
Th01 05 03:08:29 <timburke>	seems like it must be tape-backed, given the low cost & high latency
Th01 05 03:19:17 <tdasilva>	it does seem to refer to EC thou
Th01 05 03:21:22 <timburke>	it definitely says something about splitting the objects into fragments, but EC alone doesn't take 12 hours
Th01 05 03:21:39 <tdasilva>	right
Th01 05 03:21:59 <notmyname>	if only rledisez were here
Th01 05 03:25:26 <tdasilva>	timburke: i wonder if they could be shutting down stuff to save on power??
Th01 05 03:31:58 <dcourtoi>	translation is coming soon ;)
Th01 05 03:37:50 <dcourtoi>	yes, EC is involved, but I don't know which details I could disclose, you'll have to wait for rledisez :)
Th01 05 03:56:24 <openstackgerrit>	Clay Gerrard proposed openstack/swift: Fix flaky expirer probe test  https://review.openstack.org/416384
Th01 05 03:58:53 *	acoles_ is now known as acoles
Th01 05 03:59:43 <notmyname>	swift meeting in 2 minutes in #openstack-meeting
Th01 05 03:59:43 <kota_>	good morning
Th01 05 03:59:47 <notmyname>	hello kota
Th01 05 03:59:59 <kota_>	happy new year notmyname
Th01 05 04:00:10 <notmyname>	kota_: thanks. you too :-)
Th01 05 04:26:55 *	ChanServ gives voice to tdasilva
Th01 05 04:29:23 *	ChanServ gives voice to joeljwright
Th01 05 04:38:55 <openstackgerrit>	Merged openstack/swift: Allow Hacking H401, H403 check  https://review.openstack.org/416679
Th01 05 04:50:43 <bkeller`>	^thanks clayg and zaitcev 
Th01 05 04:50:50 <zaitcev>	what
Th01 05 04:50:53 <zaitcev>	oh
Th01 05 04:51:59 <joeljwright>	so, timburke, expiring segments, or pre/postamble first?
Th01 05 04:52:12 <timburke>	joeljwright: up to you :-)
Th01 05 04:52:14 <notmyname>	acoles: should we set https://bugs.launchpad.net/swift/+bug/1651530 to high or critical?
Th01 05 04:52:16 <openstack>	Launchpad bug 1651530 in OpenStack Object Storage (swift) "suffix hash invalidation may be lost" [Undecided,New]
Th01 05 04:52:34 <joeljwright>	ok, well I have the segment expiry one open
Th01 05 04:53:34 <joeljwright>	I haven't looked at it since my comments, but there seemed to be a few odd things going on
Th01 05 04:53:44 <clayg>	yeah that hashing thing is a big deal - i started to look at it
Th01 05 04:54:10 <timburke>	on that one, i'm trying to figure out whether we have to HEAD before every POST. which would rather suck :-/
Th01 05 04:54:23 <notmyname>	clayg: acoles says we need to go into a quiet room and think real hard about it
Th01 05 04:54:34 <clayg>	notmyname: acoles is really smart
Th01 05 04:54:58 <notmyname>	I set the bug to critical. it needs to be closed asap
Th01 05 04:55:04 <clayg>	it is rather hard - the code was not super obvious to begin with 
Th01 05 04:56:14 <clayg>	i kept thinking - no that can't be right - you must be able to just ... oh, no that doesn't work ... revert ... ok next line ... ; no that can't be right - you must just be able to ...
Th01 05 05:06:49 <acoles>	notmyname: critical seems suitable, gates a release on getting this fix in
Th01 05 05:07:58 <acoles>	good night
Th01 05 05:08:34 *	acoles is now known as acoles_
Th01 05 05:08:50 <dims>	notmyname : need your input here please https://review.openstack.org/#/c/416064/ (also see my update to the -dev list just now for some more context)
Th01 05 05:08:51 <patchbot_>	patch 416064 - openstack-dev/devstack - Run Swift services under py35
Th01 05 05:09:12 <dims>	notmyname : mtreinish and i are talking about it in the #openstack-qa channel
Th01 05 05:10:43 <dims>	notmyname : please take a look and let us know
Th01 05 05:37:09 <timburke>	quick question: would anyone (torgomatic, maybe?) be opposed to having SLO allow zero-byte segments to be specified by the client, but not actually record them in the on-disk manifest?
Th01 05 05:37:12 <timburke>	following https://github.com/openstack/swift/commit/7f636a5 we may have (valid) SLOs on disk that can't be copied (or POSTed to, with post-as-copy) because they *end* with a zero-byte segment
Th01 05 05:38:35 <timburke>	the logical fix is to allow zero-byte segments, but it seems silly to bother recording them
Th01 05 05:38:55 <joeljwright>	I have no issue with zer-byte segments at all
Th01 05 05:39:04 <notmyname>	timburke: so a client can say "I want these bytes, then a million of range 0-0 from foo/bar, then swift only records the first stuff and not the rest because there's no actual effective difference
Th01 05 05:39:04 <patchbot_>	Error: No closing quotation
Th01 05 05:39:05 <joeljwright>	as long as they're optimised out on read
Th01 05 05:39:32 <timburke>	notmyname: range:0-0 still has one byte :-)
Th01 05 05:39:37 <notmyname>	whatever
Th01 05 05:39:39 <joeljwright>	you got there before me
Th01 05 05:39:39 <notmyname>	;-)
Th01 05 05:40:16 <joeljwright>	I can see valid uses for zero-byte segments in SLOs if we're using pre/post data as well...
Th01 05 06:01:49 <torgomatic>	timburke: don't you need to record the zero-byte segments so the etag calculation doesn't change?
Th01 05 06:12:26 *	jamielennox is now known as jamielennox|away
Th01 05 06:15:25 *	jamielennox|away is now known as jamielennox
Th01 05 06:16:52 <openstackgerrit>	Merged openstack/swift: Fix flaky expirer probe test  https://review.openstack.org/416384
Th01 05 06:47:28 <openstackgerrit>	Matthew Treinish proposed openstack/swift: Use pbr console_script entrypoints for bin/ scripts  https://review.openstack.org/416776
Th01 05 06:47:34 <mtreinish>	dims: ^^^
Th01 05 06:47:45 <mtreinish>	it was a bit more involved than I orginally though
Th01 05 06:47:46 <mtreinish>	t
Th01 05 07:18:22 <openstackgerrit>	Matthew Treinish proposed openstack/swift: Use pbr console_script entrypoints for bin/ scripts  https://review.openstack.org/416776
Th01 05 07:31:48 <openstackgerrit>	Matthew Treinish proposed openstack/swift: Use pbr console_script entrypoints for bin/ scripts  https://review.openstack.org/416776
Th01 05 07:39:50 <dims>	mtreinish : ack thanks
Th01 05 07:45:16 <mtreinish>	dims: although timburke brought up a good point the scripts still get their shebang adjusted with setuptools in the current setup.cfg
Th01 05 07:46:00 <mtreinish>	the reason it's failing for us now with py35 is because lib/swift calls SWIFT_DIR/bin/* manually instead of the installed ones
Th01 05 08:04:03 *	jamielennox is now known as jamielennox|away
Th01 05 08:22:20 *	jamielennox|away is now known as jamielennox
Th01 05 09:00:49 *	kota_ is back to online at his office
**** BEGIN LOGGING AT Fri Jan  6 14:30:08 2017

Th01 06 14:30:08 *	Now talking on #openstack-swift
Th01 06 14:30:08 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th01 06 14:30:08 *	Topic for #openstack-swift set by openstackstatus (Thu Dec 29 18:10:46 2016)
Th01 06 14:30:08 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th01 06 15:32:18 <PavelK>	Hi. Someone interested to review hash calculation optimization in object server? See patch 402043. Thanks
Th01 06 15:32:19 <patchbot>	https://review.openstack.org/#/c/402043/ - swift - Optimize hash calculation when suffix hash invalid...
Th01 06 15:33:04 *	EmilienM_ is now known as EmilienM
Th01 06 15:38:50 *	wilhelm.freenode.net gives voice to openstackstatus jrichli swifterdarrell notmyname
Th01 06 15:38:50 *	wilhelm.freenode.net gives voice to mattoliverau
Th01 06 15:38:50 *	wilhelm.freenode.net gives channel operator status to ChanServ clayg
Th01 06 15:38:50 *	wilhelm.freenode.net gives voice to redbo clayg
**** BEGIN LOGGING AT Mon Jan 16 15:32:20 2017

Th01 16 15:32:20 *	Now talking on #openstack-swift
Th01 16 15:32:20 *	Topic for #openstack-swift is: Let's talk, we're nice. | Ideas: https://wiki.openstack.org/wiki/Swift/ideas | Logs: http://eavesdrop.openstack.org/irclogs/%23openstack-swift/ | Meetings: https://wiki.openstack.org/wiki/Meetings/Swift | Priority Reviews: https://wiki.openstack.org/wiki/Swift/PriorityReviews
Th01 16 15:32:20 *	Topic for #openstack-swift set by openstackstatus (Fri Jan 13 03:54:20 2017)
Th01 16 15:32:21 -ChanServ-	[#openstack-swift] Welcome to #openstack-swift. This channel is logged. Using an IRC bouncer (eg http://znc.in/) will help you stay involved in the conversation.
Th01 16 16:35:59 <openstackgerrit>	Kota Tsuyuzaki proposed openstack/swift: Fix unnecessary for-loop and mis docs  https://review.openstack.org/420607
Th01 16 16:47:55 *	asettle is now known as Guest58506
Th01 16 17:24:28 <openstackgerrit>	Andreas Jaeger proposed openstack/swift: Remove broken links  https://review.openstack.org/420625
Th01 16 17:41:31 <openstackgerrit>	Merged openstack/swift: Tighten the move-one-replica test  https://review.openstack.org/419107
Th01 16 17:43:28 <jcaron>	Hi everyone, I am Jean from OVH.com,
Th01 16 17:43:29 <jcaron>	Some of our customers have the need to use a TXT resource record instead of the CNAME (middleware CNAME lookup)
Th01 16 17:43:29 <jcaron>	How can this feature be properly implemented ? add the TXT lookup directly in middleware/cname_lookup.py ? rename the middleware (dns_lookup.py) ?
Th01 16 17:43:29 <jcaron>	add a new middleware dedicated for the TXT lookup (code replication .. ) ?
Th01 16 17:43:29 <jcaron>	thanks for your incoming advices
Th01 16 18:13:17 *	asettle is now known as Guest74297
Th01 16 18:53:38 *	asettle_ is now known as asettle
Th01 16 19:37:56 <openstackgerrit>	Merged openstack/swift: Removed redundant 'is'  https://review.openstack.org/420561
Th01 16 19:38:04 <openstackgerrit>	Merged openstack/swift: Cleanup tests from empty suffix quarantined db fix  https://review.openstack.org/405134
Th01 16 19:38:12 <openstackgerrit>	Merged openstack/swift: Remove broken links  https://review.openstack.org/420625
Th01 16 21:09:18 <openstackgerrit>	Kota Tsuyuzaki proposed openstack/swift: Fix unnecessary for-loop and mis docs  https://review.openstack.org/420607
Th01 16 21:10:42 <kota_>	sorry, cschwede i fixed pep8 error in the patch
Th01 16 21:11:50 <cschwede>	kota_: thx, still LGTM!
Th01 16 21:12:07 <kota_>	cschwede: thanks for your quick response!
Th01 16 21:12:52 <kota_>	oops?
Th01 16 21:12:56 <kota_>	still misindent???
Th01 16 21:13:04 <kota_>	sorry, I may push wrong patch
Th01 16 21:13:43 <cschwede>	kota_: but the diff from 1 to 2 looks like it fixes the pep8 error? https://review.openstack.org/#/c/420607/1..2/swift/common/ring/builder.py
Th01 16 21:13:43 <patchbot>	patch 420607 - swift - Fix unnecessary for-loop and mis docs
Th01 16 21:14:09 <openstackgerrit>	Kota Tsuyuzaki proposed openstack/swift: Fix unnecessary for-loop and mis docs  https://review.openstack.org/420607
Th01 16 21:14:32 <cschwede>	http://logs.openstack.org/07/420607/2/check/gate-swift-pep8-ubuntu-xenial/ce4d0a7/console.html#_2017-01-16_14_10_45_007670
Th01 16 21:14:32 <kota_>	cschwede: I thought but i got mistake again
Th01 16 21:14:48 <kota_>	cschwede: patch 3 should pass pep8
Th01 16 21:15:22 <cschwede>	ah yes, patch #1 fixed one of the two lines. makes sense
Th01 16 21:17:14 <kota_>	cschwede: yeah, sorry. my mistake, again.
Th01 16 21:17:23 <kota_>	my head seems to go sleep :/
Th01 16 21:19:52 <cschwede>	kota_: well, all good things come in threes - pep8 passed :)
Th01 16 21:20:03 <kota_>	yey
Th01 16 21:21:19 <kota_>	cschwede: thanks!
Th01 16 21:22:10 *	kota_ is going to offline
Th01 16 21:25:53 *	acoles_ is now known as acoles
Th01 16 21:38:17 <acoles>	clayg: jrichli: git branch | wc -l == 137 :P
Th01 16 21:39:34 <acoles>	kota_: actually the reclaim age patch 374419 didn't land yet, just some associated tests, but looks like cschwede may be on it :)
Th01 16 21:39:35 <patchbot>	https://review.openstack.org/#/c/374419/ - swift - Move documented reclaim_age option to correct loca...
Th01 16 21:50:19 <kota_>	acoles: oh, really
Th01 16 22:11:35 <cschwede>	acoles: indeed, i was looking at that patch! and with your and mahatic's comments i'm fine merging that patch - it's in the gate now :)
Th01 16 22:12:45 <mahatic>	cschwede: thanks for looking at it!
Th01 16 22:25:09 <acoles>	cschwede: thanks!
Th01 16 23:10:12 *	bkeller`_ is now known as bkeller`
Th01 16 23:17:53 <timburke>	good morning
Th01 16 23:23:11 <mahatic>	timburke: good morning. Isn't it a holiday in the US?
Th01 16 23:23:55 <timburke>	i've got something i need to fix for a release this week :-)
Th01 16 23:24:08 <mahatic>	oic :)
Th01 16 23:37:18 <openstackgerrit>	Merged openstack/swift: Move documented reclaim_age option to correct location  https://review.openstack.org/374419
Th01 16 23:37:27 <openstackgerrit>	Merged openstack/swift: Fix unnecessary for-loop and mis docs  https://review.openstack.org/420607
Th01 16 23:54:45 <openstackgerrit>	OpenStack Proposal Bot proposed openstack/swift: Updated from global requirements  https://review.openstack.org/88736
Th01 17 00:15:10 <clayg>	morning
Th01 17 00:46:30 <openstackgerrit>	Clay Gerrard proposed openstack/swift: Pretend *some* parts min_part_hours_passed  https://review.openstack.org/311226
Th01 17 00:58:49 <clayg>	kota_: part of the need for the mockig was because on dev it's pretty easy to get a mtime that == on modified files :\
Th01 17 00:59:48 <clayg>	kota_: in patch 419787 I found using the files inode number to be a bit more reliable and works the same as python stdlib os.path.samefile
Th01 17 00:59:49 <patchbot>	https://review.openstack.org/#/c/419787/ - swift - Better optimistic lock in get_hashes
Th01 17 01:01:15 <clayg>	kota_: in particular I guess PavelK had a particularlly low resolution mtime on a COW filesystem (containers) and found the test to be unreliable w/o the mocks
Th01 17 01:13:05 <acoles>	clayg: I am going to try to loop back to those ^^ suffix hashing patches this week - we're still preferring your 4 (or 5?) separated patches right? I saw your +2 come then go on patch 402043.
Th01 17 01:13:06 <patchbot>	https://review.openstack.org/#/c/402043/ - swift - Optimize hash calculation when suffix hash invalid...
Th01 17 01:13:24 <clayg>	acoles: idk :'(
Th01 17 01:17:26 <acoles>	clayg: heh you got a +2 on one of them patch 418692
Th01 17 01:17:26 <patchbot>	https://review.openstack.org/#/c/418692/ - swift - Optimize noop case for suffix rehash
Th01 17 01:18:23 <acoles>	and +1 from Pavel
Th01 17 01:18:33 <acoles>	so maybe I'll start there
Th01 17 01:21:27 <clayg>	jesus
Th01 17 01:22:20 <clayg>	one of the main reasons I was sure we should pull these apart was because we had multiple bug fixes squashed in with a *minor performance enhancement*
Th01 17 01:22:31 <clayg>	so naturally everyone starts with that ;)
Th01 17 01:23:17 <timburke>	may as well pick off the easy one, right? :P
Th01 17 01:29:37 <acoles>	oh gerrit!
Th01 17 01:31:27 <clayg>	oh look!  now acoles can review ring patches -> p 420607
Th01 17 01:31:27 <patchbot>	https://review.openstack.org/#/c/420607/ - swift - Fix unnecessary for-loop and mis docs (MERGED)
Th01 17 01:31:34 *	acoles attempts to infer useful info from "Related Changes"
Th01 17 01:32:27 <acoles>	clayg: I knew it's a public holiday over there, I didn't know it was national take the p day :)
Th01 17 01:34:33 <clayg>	acoles: I had to google
Th01 17 01:34:51 <acoles>	really? TIL
Th01 17 01:36:17 <clayg>	yeah i'm not sure there's an exactly equivilent 'merican expression https://en.wikipedia.org/wiki/Taking_the_piss
Th01 17 01:38:37 <acoles>	clayg: huh. toodle-pip :P
Th01 17 01:40:11 *	acoles is now known as acoles_
Th01 17 02:28:44 <clayg>	you 
Th01 17 02:28:49 <clayg>	`
Th01 17 02:29:08 <clayg>	~
Th01 17 02:29:13 <clayg>	whoa!
Th01 17 02:30:02 <clayg>	i've learned recently that `<return>~.` is some magic when you ssh connection goes to sleep - but while trying to remember the corect sequence apparently my ssh connection was re-established - computers are funny
Th01 17 02:30:27 <clayg>	cschwede: did you ever figure out the thing with openstack-client slowness with swift download?
Th01 17 02:32:19 <openstackgerrit>	Clay Gerrard proposed openstack/swift: Better optimistic lock in get_hashes  https://review.openstack.org/419787
Th01 17 02:32:30 <clayg>	^ just a spelling error
Th01 17 02:33:03 <clayg>	aside from patch 418691 - I think patch 419787 is the most imporant in the sequence
Th01 17 02:33:04 <patchbot>	https://review.openstack.org/#/c/418691/ - swift - Fix performance regression with hash invalidations
Th01 17 02:33:05 <patchbot>	https://review.openstack.org/#/c/419787/ - swift - Better optimistic lock in get_hashes
Th01 17 02:33:09 <clayg>	... if you're prioritizing
Th01 17 02:33:21 <clayg>	of course they both depend on patch 418689
Th01 17 02:33:21 <patchbot>	https://review.openstack.org/#/c/418689/ - swift - Extract test pattern to helper
Th01 17 02:35:06 <lespaul>	Hello. I'm trying to create a container using a storage policy however, I'm getting a 400 Bad Request Invalid X-Storage-Policy-Index 2. I can create a container with the default policy fine. Any ideas?
Th01 17 02:35:43 <clayg>	lespaul: client api uses the names in /info
Th01 17 02:35:51 <clayg>	x-storage-policy: <name>
Th01 17 02:35:53 <clayg>	or alias
Th01 17 02:36:54 <lespaul>	the name matches fine though. i didn't put any alias, it's commented out.
Th01 17 02:37:11 <lespaul>	ok let me double check..
Th01 17 02:37:24 <clayg>	oh - maybe the backend is rejecting it - sorry - restart object servers?
Th01 17 02:37:29 <clayg>	... or reload
Th01 17 02:45:53 <lespaul>	once i put an object into a container, is there a command to show which nodes/drives the replicas are contained?
Th01 17 02:54:47 <clayg>	lespaul: swift-get-nodes is pretty good for that - it'll list ring primaries and handoffs
Th01 17 02:55:13 <clayg>	lespaul: you can then query them to see which nodes it landed on (generally the primaries unless you're multi-region write_affinity or something went wrong)
Th01 17 03:08:08 <clayg>	debating if I should try again to consolidate all the suffix hashing fixes or give up and review ec fragment duplication...
Th01 17 03:14:47 <PavelK>	clayg: hi. I'm not sure tha I understand what means +A patch - should I abandon patch 402043?
Th01 17 03:14:48 <patchbot>	https://review.openstack.org/#/c/402043/ - swift - Optimize hash calculation when suffix hash invalid...
Th01 17 03:38:28 <openstackgerrit>	Merged openstack/swift: Confirm receipt of SLO PUT with etag  https://review.openstack.org/390901
Th01 17 03:39:23 <clayg>	PavelK: idk :'(
Th01 17 03:40:21 <clayg>	PavelK: what do you think about the getmtime vs. stat/inode/samefile check?
Th01 17 03:41:03 <clayg>	oh, you +1'd it
Th01 17 03:41:50 <openstackgerrit>	OpenStack Proposal Bot proposed openstack/swift: Updated from global requirements  https://review.openstack.org/88736
Th01 17 03:42:28 <PavelK>	clayg: yes, thats fine - if you merge idea of patch 418691 on it
Th01 17 03:42:29 <patchbot>	https://review.openstack.org/#/c/418691/ - swift - Fix performance regression with hash invalidations
Th01 17 03:42:45 <clayg>	yeah, i haven't really come up with a diff I like to merge them :'(
Th01 17 03:45:34 <clayg>	you'd think the safe_get_inode and read_hashes helpers would make it easier - but idk - there's still this weird schizophrenic thing were we want safe_get_inode under the directory lock but we also want to flag do_listdir/set-hashes-{} and safe_get_inode of any existing file when something goes wrong in consolidate hashes
Th01 17 03:46:53 <clayg>	I *think* I want like "with dir_lock: try: hashes = _do_consolidate; except Exception: reset-the-business; inode = safe_get_inode()"
Th01 17 03:46:59 <clayg>	... maybe that's it...
Th01 17 03:51:31 *	ChanServ gives voice to zaitcev
Th01 17 03:51:45 <PavelK>	I'm not sure that dir_lock should hold the caller - once can someone forget to lock it. So I preffer function "give me hashes and something how I can compare that it was not changed when I lock the dir later".  
Th01 17 03:52:10 <lespaul>	clayg: it worked, thanks. where would i find documentation for the more esoteric commands in swift?
Th01 17 03:52:15 <clayg>	except if something goes wrong in conslidate hashes you still need the inode
Th01 17 03:52:31 <PavelK>	may be
Th01 17 03:52:38 <clayg>	you could say "call conslidate hashes and have it return the thing - then if that goes wrong go get it anyway"
Th01 17 03:54:18 <clayg>	I think you can still make a function that does both "safe_conslidate_hashes_and_get_inode" - but you can method extract that to just do what I had above (lock, _private_unsafe_conslidate, safe_get_inode) - and have it return all the state you need (maybe empty hashes, state-indicating-do_listdir, inode)
Th01 17 03:55:20 <clayg>	anyway - i'm less worried about cleanliness than correctness - but I need something understandable to reason about correctness
Th01 17 03:55:56 <clayg>	at a minimum patch 402043 is missing the test(s) form https://review.openstack.org/#/c/419787/4/test/unit/obj/test_diskfile.py
Th01 17 03:55:57 <patchbot>	https://review.openstack.org/#/c/402043/ - swift - Optimize hash calculation when suffix hash invalid...
Th01 17 03:55:58 <patchbot>	patch 419787 - swift - Better optimistic lock in get_hashes
Th01 17 03:56:15 <clayg>	... but I didn't even notice those tests were needed until you pointed it out to me in the split up changes!
Th01 17 03:56:20 <PavelK>	I'm scared of picle.loads(.pkl) CPU utization, but I'm sure that there are more important thinks where you can spend time
Th01 17 03:56:37 <clayg>	CPU?  those files are *tiny*
Th01 17 03:57:45 <PavelK>	You know it better than me :-)
Th01 17 03:58:29 <clayg>	i mean they have to be?  suffixes are fixed width - 0xfff - how long can it take to pickle deserialize that?
Th01 17 03:58:51 *	clayg wishes he was timburke could cook up one of those cute timeit lines in 2 seconds
Th01 17 04:00:48 <timburke>	i dunno, but it looks like we've had trouble with pickle being slow before -- https://bugs.launchpad.net/swift/+bug/1031954
Th01 17 04:00:50 <openstack>	Launchpad bug 1031954 in OpenStack Object Storage (swift) "Slow Ring Loading in 2.7 due to Ring Unpickling" [High,Fix released] - Assigned to Darrell Bishop (darrellb)
Th01 17 04:00:58 *	jamielennox|away is now known as jamielennox
Th01 17 04:03:52 <clayg>	https://gist.github.com/clayg/c6a5c41b12c7f0c4075386d3f23d6d81
Th01 17 04:04:31 <clayg>	cPickle is definately faster 
Th01 17 04:04:49 <PavelK>	clayg: yes, it should be small. I don't know swift well, I just little know diskfile.py :-). I'm leaving a comment near to patch that read_pickle can be placed next to write_pickle helper - and it seems good for me
Th01 17 04:05:44 <clayg>	PavelK: I thought about putting it in utils - but didn't want to try and go fix the updater to use it
Th01 17 04:05:45 <PavelK>	thanks for hard argument!
Th01 17 04:05:51 <timburke>	clayg: yeah, cschwede et al. totally figured it out. the follow-up was https://review.openstack.org/#/c/416249/
Th01 17 04:05:52 <patchbot>	patch 416249 - keystoneauth - Prevent MemoryError when logging response bodies (MERGED)
Th01 17 04:06:10 <clayg>	timburke: thanks - i found some reference to that on the bug
Th01 17 04:06:24 <clayg>	timburke ... and I saw that one also merged ...
Th01 17 04:07:27 <clayg>	PavelK: thanks for pointing out all these bugs!
Th01 17 04:07:39 <clayg>	and all your help with the solution and review
Th01 17 04:08:37 <PavelK>	"It's my work" :-)
Th01 17 04:08:58 <clayg>	... and for not stopping to push on finishing the rest of the cleanup!
Th01 17 04:09:33 <clayg>	lol @ "it's a damn good thing I'm paid to put up with these %$$holes"
Th01 17 04:10:25 <PavelK>	clayg: I have not answer for my first question - what to do with old messed patch? Close it as abandoned or what you mean with "+A it"
Th01 17 04:12:48 <clayg>	PavelK: I apparently can't bring myself to +A patch 402043 as is - I could try to come up with a list of things that would need to be addressed - but ultimately it's just "what is the diff applied ontop of patch 402043 that makes me comfortable with the end state"
Th01 17 04:12:49 <patchbot>	https://review.openstack.org/#/c/402043/ - swift - Optimize hash calculation when suffix hash invalid...
Th01 17 04:12:50 <patchbot>	https://review.openstack.org/#/c/402043/ - swift - Optimize hash calculation when suffix hash invalid...
Th01 17 04:13:12 <clayg>	if I had that diff I'd probably just push it up as a follow up and tell gerrit to merge your patch
